place_name,place_category,address,latitude_gcj02,longitude_gcj02,coordinate_status,average_price_yuan,place_notes,food_name,description,price_yuan,meal_type,service_modes,tags,image_url,source
泰煌鸡,中餐,上海市宝山区上大路678号,31.318800,121.394200,estimated,38,"白斩鸡的蘸料和辣酱值得尝试。",白斩鸡,"店内推荐菜，蘸料和辣酱是亮点。",,正餐,堂食|带走,鸡肉|清淡|上海菜,,用户实地整理-2026-09
泰煌鸡,中餐,上海市宝山区上大路678号,31.318800,121.394200,estimated,38,"白斩鸡的蘸料和辣酱值得尝试。",鸡汤面,"鸡汤搭配面条，适合想吃清淡热食时选择。",,正餐,堂食,鸡肉|面食|清淡|热汤,,用户实地整理-2026-09
泰煌鸡,中餐,上海市宝山区上大路678号,31.318800,121.394200,estimated,38,"白斩鸡的蘸料和辣酱值得尝试。",鸡胗皮蛋豆腐,"鸡胗、皮蛋和豆腐组合的凉菜。",,正餐,堂食,鸡肉|凉菜|豆腐,,用户实地整理-2026-09
马厂老火锅,火锅,上海市宝山区上大路682号26楼,31.318760,121.394300,estimated,124,"推荐马厂油碟，比较解辣。适合多人聚会，不能吃辣需谨慎。",马厂全红锅,"重麻重辣的红锅，适合能吃辣的多人聚会。",,正餐,堂食,麻辣|火锅|聚会,,用户实地整理-2026-09
马厂老火锅,火锅,上海市宝山区上大路682号26楼,31.318760,121.394300,estimated,124,"推荐马厂油碟，比较解辣。适合多人聚会，不能吃辣需谨慎。",手切吊龙,"火锅推荐牛肉菜品，适合涮煮。",,正餐,堂食,牛肉|火锅|聚会,,用户实地整理-2026-09
马厂老火锅,火锅,上海市宝山区上大路682号26楼,31.318760,121.394300,estimated,124,"推荐马厂油碟，比较解辣。适合多人聚会，不能吃辣需谨慎。",屠宰鲜毛肚,"火锅推荐菜，口感爽脆。",,正餐,堂食,毛肚|火锅|麻辣,,用户实地整理-2026-09
马厂老火锅,火锅,上海市宝山区上大路682号26楼,31.318760,121.394300,estimated,124,"推荐马厂油碟，比较解辣。适合多人聚会，不能吃辣需谨慎。",贡菜,"适合搭配红锅，口感清脆。",,正餐,堂食,蔬菜|火锅|聚会,,用户实地整理-2026-09
Popeyes,快餐,上海市宝山区上大路682号,31.318760,121.394300,estimated,33,"定位接近麦当劳、肯德基，汉堡表现更好，可关注1+1套餐。",大嘴鸡排堡,"汉堡表现比同价位常见连锁快餐更突出，可搭配蜂蜜芥末酱。",,正餐,堂食|带走|外卖,汉堡|炸鸡|快餐,,用户实地整理-2026-09
朴大叔拌饭（南区食堂）,食堂,上海大学宝山校区南区食堂,31.319800,121.390800,estimated,18,"拌饭风格接近米村拌饭，全部拌在一起后很像“人饲料”吃法。",金枪鱼拌饭,"拌在一起后很像“人饲料”，风格接近米村拌饭。",,正餐,堂食|带走,拌饭|米饭|金枪鱼|实惠,,用户实地整理-2026-09
火箭狗披萨,西餐,上海市宝山区聚丰园路91弄1号122,31.317000,121.387900,estimated,55,"西餐价格稍高，适合偶尔奖励自己。不推荐意大利面。",玛格丽特披萨,"店内推荐披萨，适合偶尔想吃西餐时选择。",,正餐,堂食|带走,披萨|西餐|聚会,,用户实地整理-2026-09
火箭狗披萨,西餐,上海市宝山区聚丰园路91弄1号122,31.317000,121.387900,estimated,55,"西餐价格稍高，适合偶尔奖励自己。不推荐意大利面。",薯条,"适合与披萨一起分享。",,小吃,堂食|带走,薯条|炸物|西餐,,用户实地整理-2026-09
Fan土耳其烤肉饭,小吃,上海市宝山区聚丰园路37号弘基广场,31.316500,121.389300,estimated,13,"位于新世纪对面，常年排队。适合打包回寝室。",土耳其烤肉饭,"大份烤肉拌饭，肉、饭、菜拌在一起，适合打包。",,正餐,堂食|带走,烤肉|米饭|实惠|排队,,用户实地整理-2026-09
Fan土耳其烤肉饭,小吃,上海市宝山区聚丰园路37号弘基广场,31.316500,121.389300,estimated,13,"位于新世纪对面，常年排队。适合打包回寝室。",肉夹馍,"土耳其烤肉口味的便携主食。",,小吃,带走,烤肉|面食|便携|实惠,,用户实地整理-2026-09
西安肉夹馍,小吃,上海市宝山区聚丰园路37号,31.316500,121.389300,estimated,13,"肉夹馍可选五花或纯瘦，也可以加香肠、鸡蛋、豆皮。",肉夹馍（五花/纯瘦）,"可选五花或纯瘦，也可以加香肠、鸡蛋、豆皮。",,小吃,堂食|带走,猪肉|面食|便携|实惠,,用户实地整理-2026-09
汉堡王（经纬汇）,快餐,上海市宝山区经纬汇9号楼红色楼一层,31.321000,121.392000,estimated,33,"汉堡比常见连锁快餐更多汁，适合正餐或夜宵。",大口安格斯,"肉饼多汁，是汉堡王的推荐选择。",,正餐,堂食|带走|外卖,汉堡|牛肉|快餐|夜宵,,用户实地整理-2026-09
汉堡王（经纬汇）,快餐,上海市宝山区经纬汇9号楼红色楼一层,31.321000,121.392000,estimated,33,"汉堡比常见连锁快餐更多汁，适合正餐或夜宵。",大皇堡,"经典牛肉汉堡，汁水和饱腹感都比较足。",,正餐,堂食|带走|外卖,汉堡|牛肉|快餐|夜宵,,用户实地整理-2026-09
咱家东北铁锅炖,东北菜,上海市宝山区聚丰园路9弄66号弘基休闲文化广场2层,31.316800,121.388800,estimated,66,"菜量很大，适合多人一起吃。味道偏酱香，咸菜也很好吃。",铁锅炖公鸡,"份量很大，味道偏酱香，适合多人一起吃。",,正餐,堂食,东北菜|鸡肉|铁锅炖|聚会,,用户实地整理-2026-09
咱家东北铁锅炖,东北菜,上海市宝山区聚丰园路9弄66号弘基休闲文化广场2层,31.316800,121.388800,estimated,66,"菜量很大，适合多人一起吃。味道偏酱香，咸菜也很好吃。",铁锅炖排骨,"排骨搭配铁锅炖，份量适合多人分享。",,正餐,堂食,东北菜|猪肉|铁锅炖|聚会,,用户实地整理-2026-09
